functionality	function_total	domain	phylum	class	order	family	genus	species	count	order_total
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium		16	1867
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azoarcus		7	1867
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azospira		4	1867
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas		36	1867
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechlorosoma		1	1867
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Ferribacterium		2	1867
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera		44	1867
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea		47	1867
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alishewanella		2	49
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella		2	49
nitrogen_respiration	201	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas		1	89
fumarate_respiration	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Ferribacterium		2	1867
intracellular_parasites	142	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Holospora		1	3
intracellular_parasites	142	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	NA		2	3
intracellular_parasites	142	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales		NA		103	123
intracellular_parasites	142	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae			12	123
intracellular_parasites	142	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA		7	123
intracellular_parasites	142	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		1	123
intracellular_parasites	142	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella		12	36
intracellular_parasites	142	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Criblamydiaceae	Estrella		2	4
intracellular_parasites	142	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia		2	4
chlorate_reducers	37	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechloromonas		36	1867
chlorate_reducers	37	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechlorosoma		1	1867
